Mi,Z,fov,n_fov,FileName
0.8,0.0134,,"without overshooting","table2 "
1.0,0.0134,,"without overshooting","table3 "
1.2,0.0134,,"without overshooting","table4 "
1.4,0.0134,0.004,"                    ","table5 "
1.6,0.0134,0.008,"                    ","table6 "
1.8,0.0134,0.013,"                    ","table7 "
2.0,0.0134,0.016,"                    ","table8 "
2.5,0.0134,0.016,"                    ","table9 "
3.0,0.0134,0.016,"                    ","table10"
5.0,0.0134,0.016,"                    ","table11"
7.0,0.0134,0.016,"                    ","table12"
10.0,0.0134,0.016,"                    ","table13"
12.0,0.0134,0.016,"                    ","table14"
15.0,0.0134,0.016,"                    ","table15"
20.0,0.0134,0.016,"                    ","table16"
25.0,0.0134,0.016,"                    ","table17"
30.0,0.0134,0.016,"                    ","table18"
35.0,0.0134,0.016,"                    ","table19"
0.8,0.0042,,"without overshooting","table20"
1.0,0.0042,,"without overshooting","table21"
1.2,0.0042,,"without overshooting","table22"
1.4,0.0042,0.004,"                    ","table23"
1.6,0.0042,0.008,"                    ","table24"
1.8,0.0042,0.013,"                    ","table25"
2.0,0.0042,0.016,"                    ","table26"
2.5,0.0042,0.016,"                    ","table27"
3.0,0.0042,0.016,"                    ","table28"
5.0,0.0042,0.016,"                    ","table29"
7.0,0.0042,0.016,"                    ","table30"
10.0,0.0042,0.016,"                    ","table31"
12.0,0.0042,0.016,"                    ","table32"
15.0,0.0042,0.016,"                    ","table33"
20.0,0.0042,0.016,"                    ","table34"
25.0,0.0042,0.016,"                    ","table35"
30.0,0.0042,0.016,"                    ","table36"
35.0,0.0042,0.016,"                    ","table37"
0.8,0.0013,,"without overshooting","table38"
1.0,0.0013,,"without overshooting","table39"
1.2,0.0013,,"without overshooting","table40"
1.4,0.0013,0.004,"                    ","table41"
1.6,0.0013,0.008,"                    ","table42"
1.8,0.0013,0.013,"                    ","table43"
2.0,0.0013,0.016,"                    ","table44"
2.5,0.0013,0.016,"                    ","table45"
3.0,0.0013,0.016,"                    ","table46"
5.0,0.0013,0.016,"                    ","table47"
7.0,0.0013,0.016,"                    ","table48"
10.0,0.0013,0.016,"                    ","table49"
12.0,0.0013,0.016,"                    ","table50"
15.0,0.0013,0.016,"                    ","table51"
20.0,0.0013,0.016,"                    ","table52"
25.0,0.0013,0.016,"                    ","table53"
30.0,0.0013,0.016,"                    ","table54"
35.0,0.0013,0.016,"                    ","table55"
